url,Tipo de propiedad,Precio,Ubicación,Habitaciones,Baños,Parqueaderos,Área,Descripción
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-villanueva-medellin-3306914,"Apartamento en arriendo, Villanueva",$2.100.000,"La Candelaria, Medellín, Boston ",2,3,No encontrado,108.0,"arriendo apartamento en el parque de bolívar cerca al centro comercial Villanueva a clínica fundadores, a la avenida oriental , centro comercial camino real consta de salon , comedor , dos alcobas , mas alcoba de servicio, cocina semi , zona de ropas , dos balcones , vigilancia las 24 horas . inf a 32206 noventa y cuatro inmobiliarios asociados sas"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-laureles-medellin-3314461,"Apartamento en arriendo, Laureles",$2.550.000,"Los Conquistadores, La Castellana, Rosales ",2,2,No encontrado,40.0,"2 habitaciones, 3 closets, zona de ropas, agua caliente, 2 balcones, Parqueadero cubierto, para máximo 4 personas"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-simesa-medellin-3296837,"Apartamento en arriendo, Ciudad del río",$3.400.000,"Castropol, El Poblado, San Diego ",3,2,1,70.0,"472-6925 Conaltura Inmobiliaria ofrece apartamento para arriendo en Ciudad del río, excelente ubicación. Piso 13, 70 m2, consta de 3 alcobas, 2 closet, 1 vestier, 2 baños, sala comedor, balcón, cocina integral,, zona de ropas, parqueadero cubierto sencillo. En conjunto cerrado con ascensores, portería 24h, gimnasio, juegos, piscina de adultos y niños, salón social y parqueadero de visitantes, cerca al Museo de arte Moderno de Medellín, sede principal de Bancolombia, parque lineal de Ciudad del río, centro comercial Premium Plaza y San Diego, rutas de buses del metro hacia la estación Industriales y con fácil acceso a la Av. Las Vegas y la Av. El Poblado."
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-caicedo-medellin-3314487,"Apartamento en arriendo, Caicedo",$1.200.000,"La Veracruz, Las Nieves, Samper ",3,2,No encontrado,30.0,"Apartamento ubicado en un primer piso interno cuenta con 3 habitaciones, 2 baños, cocina integral, red de gas, zona de ropas"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-el-tesoro-medellin-3307753,"Apartamento en arriendo, El tesoro",$3.800.000,"Alejandria, La Florida, Los Balsos No.1 ",2,2,1,87.0,"arriendo hermoso apartamento junto a plaza Ámsterdam, piso intermedio salon comedor, cocina integral , dos baños, un closet, dos balcones dos alcobas un vestier , inf al 311741SIETE DOS SEIS TRES DIANA HENAO"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-belen-medellin-3276974,"Apartamento en arriendo, Belen",$1.900.000,"Laureles, La Castellana, Rosales ",2,1,No encontrado,50.0,"Apartamento de dos habitaciones , muy amplias e iluminadas, tiene un amplios closet, baño amplio con agua caliente, amplia cocina con gabinetes superior e inferior en madera, pollo en acero, espacio para nevera, estufa a gas y una amplia barra, también tiene una zona de ropas con lavadero, un amplio gabinete superior y espacio para lavadora. Área aproximada de 50 mt2 Cuenta con servicios independientes de agua, energía y gas. No tiene ascensor, ni parqueo, ni administración"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-naranjitos-medellin-3263705,"Apartamento en arriendo, El poblado",$3.200.000,"Castropol, El Tesoro, Alejandria ",3,2,1,90.0,"93 metros , salón comedor, 3 alcobas, alcoba con baño, closets, vestier, cocina integral, garaje sencillo $ 3.200.000"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-castropol-medellin-3312151,"Apartamento en arriendo, Castropol",$4.300.000,"El Tesoro, Alejandria, Simesa ",3,2,1,100.0,Moderno apartamento en arriendo en el prestigioso sector de Castropol El Poblado. Este inmueble de 100 m2 ofrece 3 habitaciones espaciosas y luminosas ideales para tu familia. Disfruta de 2 baños completos y un agradable balcón para tus momentos de descanso. Cuenta con 1 parqueadero privado y un útil cuarto útil. La zona de ropas independiente añade comodidad a tu día a día. El edificio ofrece seguridad 24 horas y completas zonas comunes para tu disfrute incluyendo piscina zona verde juegos infantiles gimnasio y salón social. Su excelente ubicación te brinda fácil acceso a la Avenida Las Palmas la Avenida El Poblado y los centros comerciales Premium Plaza y San Diego. Una oportunidad inigualable para vivir en una de las mejores zonas de Medellín.
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-las-estancias-medellin-3302495,"Apartamento en arriendo, Caicedo",$750.000,"Miraflores, Bombona No.2, Barrios De Jesus ",2,1,No encontrado,30.0,"Cod 2103 apto 301 para rentar, 2 alcobas, sala comedor, cocina integral, red de gas, zona de ropas, baño cabinado, ventanal, Barrio Caicedo Tres Esquinas"
https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-la-gloria-medellin-3314264,"Apartamento en arriendo, La gloria",$2.300.000,"Loma De Los Bernal, Belen, San Bernardo ",3,2,No encontrado,90.0,"Se arrienda apartamento de 3 habitaciones , 2 baños , cocina integra, red de gas , calentador , patio , piso en cerámica , PRIMER PISO, barrio belén la Nubia , transporte publico ,supermercados ,colegios cercanos."
